Game Id,Home Possession,Away Possession,Home Shots on Target,Away Shots on Target,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Yellow cards,Away Yellow cards,Home Fouls conceded,Away Fouls conceded
75130,41.8,58.2,6.0,4.0,12.0,22.0,583.0,747.0,407.0,544.0,16.0,10.0,39.0,7.0,2.0,7.0,1.0,2.0,1.0,1.0,9.0,7.0
75131,69.2,30.8,7.0,2.0,23.0,9.0,774.0,435.0,590.0,267.0,10.0,12.0,16.0,34.0,7.0,4.0,1.0,1.0,0.0,2.0,9.0,9.0
75132,33.2,66.8,5.0,7.0,11.0,15.0,501.0,790.0,276.0,566.0,20.0,15.0,29.0,15.0,4.0,6.0,2.0,5.0,2.0,3.0,8.0,10.0
75133,25.8,74.2,1.0,7.0,6.0,17.0,434.0,893.0,240.0,705.0,19.0,23.0,22.0,17.0,1.0,6.0,3.0,2.0,4.0,1.0,10.0,11.0
75134,50.0,50.0,3.0,1.0,16.0,10.0,585.0,570.0,396.0,408.0,10.0,10.0,17.0,18.0,5.0,4.0,1.0,3.0,0.0,1.0,9.0,11.0
75135,33.0,67.0,6.0,5.0,16.0,11.0,460.0,738.0,251.0,544.0,23.0,30.0,14.0,17.0,7.0,3.0,3.0,3.0,2.0,1.0,10.0,13.0
75136,48.9,51.1,7.0,4.0,15.0,11.0,638.0,647.0,454.0,468.0,27.0,10.0,8.0,10.0,1.0,5.0,2.0,2.0,5.0,2.0,14.0,9.0
75137,59.1,40.9,6.0,1.0,15.0,6.0,791.0,586.0,585.0,403.0,21.0,18.0,11.0,21.0,3.0,3.0,4.0,2.0,1.0,3.0,8.0,16.0
75138,67.2,32.8,9.0,2.0,17.0,6.0,750.0,446.0,620.0,304.0,7.0,7.0,4.0,15.0,8.0,4.0,1.0,4.0,1.0,2.0,13.0,14.0
75139,40.9,59.1,2.0,2.0,17.0,11.0,536.0,701.0,329.0,492.0,16.0,21.0,15.0,31.0,5.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0
